filename,url_if_available,generated-by-what-tool,format,provenance
ascii-boxes-sbom-cdx.json,https://github.com/ascii-boxes/boxes/blob/master/cyclonedx-sbom.json,unknown,json,original
joc-cockpit-sbom-cdx.json,https://github.com/sos-berlin/joc-cockpit/blob/3d1a65c82382281d6a082a34b5b7b15ba9383424/src/main/angular/client/sbom.json,unknown,json,original
redis-commander-sbom-cdx.json,https://github.com/joeferner/redis-commander/blob/96266000ca81eb127ac101b5012d46a5e9800da3/sbom.json,cyclonedx-npm,json,original
bashrc2-sbom-cdx.json,https://raw.githubusercontent.com/bashrc2/epicyon/main/sbom.json,scanoss,json,original
jx-darwin-arm64.tar.gz.sbom,https://github.com/jenkins-x/jx/releases/tag/v3.10.16,Syft,json,original
scanoss-sbom-cdx.json,https://raw.githubusercontent.com/scanoss/scanoss.py/main/SBOM.json,scanoss,json,original
harp-darwin-amd64.sbom.json,https://github.com/elastic/harp/releases/tag/v0.2.10,cyclonedx-gomod,json,original
kawipiko-sbom-cdx.json,https://sourcegraph.com/github.com/volution/kawipiko/-/blob/documentation/sbom/sbom.json?subtree=true,unknown,json,original
